occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
e829f7f7-2e1b-4129-9aac-0f45eb58dccc,NY,1993,7,20,New York,Bronx Co.,"The New York Botanical Garden, near Conservatory Way",40.8568,-73.8754
0f4572fc-0090-4cd7-828b-96fead0e4df1,NY,1929,6,13,New York,Bronx Co.,"New York Botanical Garden, Bronx Park, New York City",40.8568,-73.8754
038a9d2a-4bda-4696-a6b6-282b25bbc484,NY,1939,6,16,New York,Bronx Co.,Bronx Park. The New York Botanical Garden. In native woods,40.8568,-73.8754
55233ec2-41f8-44c0-985e-6f54ce10c6f2,NY,1907,10,,New York,Bronx Co.,"New York Botanical Garden, east of river",40.8568,-73.8754
d9fe2ae3-74f8-4841-a2b2-94b7ed8ed788,NY,1993,7,20,New York,Bronx Co.,"The New York Botanical Garden, tram stop area near Harding Laboratory",40.8568,-73.8754
a47144fb-bece-4bb5-9344-14f7c6b74148,NY,1988,7,18,New York,Bronx Co.,"On the grounds of the New York Botanical Garden, Bronx",40.8568,-73.8754
d5ce2e48-ba15-4ad2-af60-b2d5065c5350,NY,1986,10,10,New York,Bronx Co.,"Grounds of New York Botanical Garden, near the Museum Building",40.8568,-73.8754
a39ef3ba-a43b-44a3-8b62-b5b47456530d,NY,1966,9,17,New York,Bronx Co.,The New York Botanical Garden. Native Plant Garden,40.8568,-73.8754
11a39691-016f-48ec-badc-a0ef44488395,NY,2009,5,29,New York,Bronx Co.,"City of New York. The New York Botanical Garden, W of the Bronx River and N of Waring Ave",40.866,-73.8754
269984ee-a0b3-46e9-9c1f-b29e0926bb0b,NY,2009,4,29,New York,Bronx Co.,"Grounds of The New York Botanical Garden, forest, W of the Bronx River and S of northern perimeter road",40.8651,-73.8755
3b6e434a-b0e3-4f75-8f97-dd309149db24,NY,2009,4,24,New York,Bronx Co.,"The New York Botanical Garden, SE section of the Garden, ca 90 m east of the Bronx River and ca 230 m N of Pelham Parkway/Fordham Road/US",40.8581,-73.8757
46807034-375c-4f39-b0bd-9db62ad0fb93,NY,2006,5,3,New York,Bronx Co.,The New York Botanical Garden,40.8678,-73.8758
c33b0f18-14e1-4124-839e-71253c27ae36,NY,1940,5,21,New York,Bronx Co.,"New York Botanical Garden, Bronx Park",40.8627,-73.8759
6354f2ff-fb83-4558-b763-8609682c30e8,NY,1940,5,21,New York,Bronx Co.,"New York Botanical Garden, Bronx Park",40.8627,-73.8759
aeddf231-4638-4a8d-abed-843a42dc79fd,NY,2006,9,27,New York,Bronx Co.,The New York Botanical Garden. Along path between Hester Bridge and Azalea Way,40.8606,-73.8764
4365a7d4-0ca9-44af-96bb-0b52170c93f1,NY,1985,5,15,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 105",40.8622,-73.8765
05c05e70-b2ab-4948-acd0-198eabdccec0,NY,1988,9,19,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 104",40.8631,-73.8765
fabf8139-1d32-4495-9506-f87df2969da1,NY,1988,9,19,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 104",40.8631,-73.8765
c2be5c45-2985-4685-8d2a-f6100326907d,NY,2009,6,30,New York,Bronx Co.,"Grounds of The New York Botanical Garden, W of the Bronx River and S of Waring Ave",40.8599,-73.8768
fd3a4fb5-19f7-4e6d-a2cc-3a89c277f4dc,NY,1902,5,10,New York,Bronx Co.,Bronx Park,40.861,-73.8768
4cafc427-6e35-4fc8-b01e-dae745520208,NY,1896,5,11,New York,Bronx Co.,Bronx Park,40.861,-73.8768
6ad76690-c480-4b2e-91a1-9fc63a18b9b9,NY,1896,5,11,New York,Bronx Co.,Bronx Park,40.861,-73.8768
e05dcb7f-a323-478f-9235-2693ba6d772d,NY,1896,9,30,New York,Bronx Co.,Bronx Park,40.861,-73.8768
f0399c50-95bc-4eb4-ab5f-7d904251c459,NY,1896,9,30,New York,Bronx Co.,Bronx Park,40.861,-73.8768
161be679-1950-4b0c-833c-daad63ad1839,NY,1896,5,5,New York,Bronx Co.,Bronx Park,40.861,-73.8768
6cade477-a4d6-42d7-bd01-b6feddd9c091,NY,1896,10,7,New York,Bronx Co.,Bronx Park.,40.8565,-73.877
b27538c2-da8e-4b4f-8217-0790d0bd24e3,NY,1896,5,11,New York,Bronx Co.,Bronx Park,40.8565,-73.877
