Accession_No,Mapping_Order,Full_name,Genus,Species,Origin,Leaf_no,Latitude,Longitude,Height_ft,Sun_Exposure_percent,Distance_from_Road_ft,Leaf_Accessibility,Gall_Presence,Leaf_Herbivory
E19-162,20,Quercus robur,Quercus,robur,Non-native,7,40.657336,-73.987996,35,100,25,high,N,2
E19-162,20,Quercus robur,Quercus,robur,Non-native,8,40.657336,-73.987996,35,100,25,high,N,1
E19-162,20,Quercus robur,Quercus,robur,Non-native,9,40.657336,-73.987996,35,100,25,high,N,1
E19-162,20,Quercus robur,Quercus,robur,Non-native,10,40.657336,-73.987996,35,100,25,high,N,7
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,1,40.655054,-73.994827,66,50,0,low,N,16.66666667
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,2,40.655054,-73.994827,66,50,0,low,N,10
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,3,40.655054,-73.994827,66,50,0,low,N,3
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,4,40.655054,-73.994827,66,50,0,low,N,2
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,5,40.655054,-73.994827,66,50,0,low,N,2
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,6,40.655054,-73.994827,66,50,0,low,N,6
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,7,40.655054,-73.994827,66,50,0,low,N,26
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,8,40.655054,-73.994827,66,50,0,low,N,13
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,9,40.655054,-73.994827,66,50,0,low,N,40
E41-35,1,Tilia cordata,Tilia,cordata,Non-native,10,40.655054,-73.994827,66,50,0,low,N,48
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,1,40.654529,-73.993625,71,50,0,low,N,0
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,2,40.654529,-73.993625,71,50,0,low,N,1
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,3,40.654529,-73.993625,71,50,0,low,N,0
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,4,40.654529,-73.993625,71,50,0,low,N,0
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,5,40.654529,-73.993625,71,50,0,low,N,0
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,6,40.654529,-73.993625,71,50,0,low,N,0
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,7,40.654529,-73.993625,71,50,0,low,N,3
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,8,40.654529,-73.993625,71,50,0,low,N,1
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,9,40.654529,-73.993625,71,50,0,low,N,0
E41-6,2,Tilia cordata,Tilia,cordata,Non-native,10,40.654529,-73.993625,71,50,0,low,N,2
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,1,40.654152,-73.990009,73,50,0,medium,Y,0
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,2,40.654152,-73.990009,73,50,0,medium,Y,1
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,3,40.654152,-73.990009,73,50,0,medium,Y,3
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,4,40.654152,-73.990009,73,50,0,medium,Y,0
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,5,40.654152,-73.990009,73,50,0,medium,Y,0
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,6,40.654152,-73.990009,73,50,0,medium,Y,0
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,7,40.654152,-73.990009,73,50,0,medium,Y,4
